filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,ExtracellularBackground,RawMitoIntDen,RawMitoMean,MitoVolume_um3,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY027 25C 6 01 m-50.csv,154000000,936.25,195.41,GTY027 25C 6,678.12,6292734.57,1381.1566642093621,5.426,42362629.79759805,3203726.3290501377,0.07562623813387025,703.0366642093621,-50,25
GTY027 25C 6 02 m-25.csv,154000000,911.16,200.91,GTY027 25C 6,678.12,4599136.03,1321.5887772303531,4.1406,39321463.340891905,2237630.653397161,0.05690608800588972,643.4687772303531,-25,25
GTY027 25C 6 02 m-35.csv,154000000,911.16,200.91,GTY027 25C 6,678.12,5388288.43,1315.1789137602652,4.8829,39321463.340891905,2612492.6261862763,0.06643935408857088,637.0589137602652,-35,25
GTY027 25C 6 02 m-50.csv,154000000,911.16,200.91,GTY027 25C 6,678.12,7028303.61,1299.1341981058843,6.441,39321463.340891905,3359328.504241203,0.08543243864344457,621.0141981058842,-50,25
GTY027 25C 6 03 m-25.csv,160000000,942.99,201.41,GTY027 25C 6,678.12,3979660,1412.231488095238,3.3600000000000003,44803448.97959183,2071566.8094398251,0.04623677097679317,734.1114880952381,-25,25
GTY027 25C 6 03 m-35.csv,160000000,942.99,201.41,GTY027 25C 6,678.12,4516379.31,1405.66168977243,3.823,44803448.97959183,2335930.024355421,0.052137281337859664,727.54168977243,-35,25
GTY027 25C 6 03 m-50.csv,160000000,942.99,201.41,GTY027 25C 6,678.12,5512393.8100000005,1382.9346679316889,4.743,44803448.97959183,2807538.397581255,0.06266344358578513,704.8146679316889,-50,25
GTY027 25C 6 04 m-25.csv,247000000,990.94,296.61,GTY027 25C 6,678.12,6276347.92,1580.7082525914955,4.727,77925203.82968003,3583215.478290081,0.045982754002438835,902.5882525914955,-25,25
GTY027 25C 6 04 m-35.csv,247000000,990.94,296.61,GTY027 25C 6,678.12,7025285,1579.6411289409102,5.297,77925203.82968003,4010546.2501049815,0.051466612251291295,901.5211289409102,-35,25
GTY027 25C 6 04 m-50.csv,247000000,990.94,296.61,GTY027 25C 6,678.12,8445590.38,1564.98553307393,6.425,77925203.82968003,4785513.605442177,0.06141162769239338,886.8655330739299,-50,25
GTY027 25C 6 05 m-25.csv,202000000,935.5,257.35,GTY027 25C 6,678.12,6518911.39,1410.708981818182,5.5,55628405.97967582,3383924.9181153956,0.06083088052804773,732.5889818181821,-25,25
GTY027 25C 6 05 m-35.csv,202000000,935.5,257.35,GTY027 25C 6,678.12,7540735.16,1403.9806259780908,6.390000000000001,55628405.97967582,3895397.1613336694,0.07002532416184776,725.8606259780908,-35,25
GTY027 25C 6 05 m-50.csv,202000000,935.5,257.35,GTY027 25C 6,678.12,9570072.59,1384.3681522003403,8.226,55628405.97967582,4879144.452842865,0.08770958590158938,706.2481522003403,-50,25
GTY027 25C 6 06 m-25.csv,180000000,936.38,229.34,GTY027 25C 6,678.12,5030131.58,1405.8071136294316,4.2621,49743300.91542789,2604749.514571261,0.052363825211354194,727.6871136294316,-25,25
