filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID
GTY030 I 25C 05 m-35.csv,Mito 14,15,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455.89,1709.28,726.06,1403472.88,151.04,NA,NA,NA,NA,NA,53.43,4.08,2.66,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 05 m-35.csv,Mito 15,16,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442.74,1295.74,714.1,621977.19,126.23,NA,NA,NA,NA,NA,56.32,6.87,2.9,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 05 m-50.csv,ROIs 1,1,203.89,452,787,589.42,101000000,38.59,227,2455,433.89,74296049,173.57,345.27,1709.28,588.27,101000000,82.25,0.93,29718.63,464.48,79534688,1010.41,NA,NA,NA,GTY030 I 25C,ROIs,Object,4,NA
GTY030 I 25C 05 m-50.csv,Mito 3,4,0.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557.12,792.54,695.72,139144.84,51.34,NA,NA,NA,NA,NA,55.1,3.15,1.06,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 05 m-50.csv,Mito 5,6,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450.39,1709.28,720.16,1678686.75,152.66,NA,NA,NA,NA,NA,53.45,4.1,2.68,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 05 m-50.csv,Mito 8,9,0.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.56,1229.05,752.35,178307.86,146.6,NA,NA,NA,NA,NA,55.87,3.01,2.8,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 05 m-50.csv,Mito 10,11,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417.02,1332.75,708.99,735222.31,131.9,NA,NA,NA,NA,NA,56.31,6.87,2.91,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 10 01 m-25.csv,ROIs 1,1,261.82,450,1659,613.98,135000000,57.78,220,1797,433.76,95378922,146.9,258.51,11687.59,614.67,135000000,206.15,0.624,23265.28,459.2,101000000,855.83,NA,NA,NA,GTY030 I 25C 10,ROIs,Object,6,NA
GTY030 I 25C 10 01 m-25.csv,Mito 1,2,0.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483.68,1023.84,747.26,187561.36,112.94,NA,NA,NA,NA,NA,20.62,13.45,1.76,GTY030 I 25C 10,Mito,Object,NA,1
GTY030 I 25C 10 01 m-25.csv,Mito 2,3,0.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450.82,1363.57,780.85,484906.5,145.45,NA,NA,NA,NA,NA,24.22,14.94,2.15,GTY030 I 25C 10,Mito,Object,NA,1
GTY030 I 25C 10 01 m-25.csv,Mito 5,6,0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373.31,1513.89,817.09,386485.28,189.76,NA,NA,NA,NA,NA,20.86,10.84,2.62,GTY030 I 25C 10,Mito,Object,NA,1
